S. Manasseh	NO LOCATION	Perhaps not a place, but a school in Singapore named after Sir Manasseh
Takow and Hongkong	TWO PLACES	
Sadec, Cochinchine	ADDED	
Sagalien	ADDED	New Place
Sagalien, Siberia	ADDED	New Place
Sagion	ADDED	Added to SAIGON
Sahnynh, Annam	ADDED	
Saigan	ADDED	
Saigoi	ADDED	
Saigou	ADDED	
Amoy and lamsui	TWO PLACES	
Sakan, Annam	ADDED	
F. C„ gunnel’. II.B.M.S. “Linnet	SHIP	
Saky, Annam	ADDED	
Russian cruiser "Dmitry-Douskoy"	SHIP	
Hongkong and Haiphong (absent)	TWO PLACES	
Sandakan, B.N.B.	ADDED	New Place
steamer "Amara,"	SHIP	
steamer "Chunsang"	SHIP	
Sandakan, British N. Borneo	ADDED	New Place
Sapporo, Japan	ADDED	
Sarawak Proper, Sarawak	ADDED	
H.B.M.S. “Grafton ’	SHIP	
Savannakhet, Cochinchine	TWO PLACES	Serious discrepency: This is unlikely to be found in Cochinchina, the Laotian city is well known though, so maybe they tried to record Two Different Locations on the Mekong River
steamer "Hanoi,"	SHIP	
steamer "Loosok"	SHIP	
steamer "Hoihow,"	SHIP	
steamer "Hué,"	SHIP	
Selangor,	ADDED	
Nagasaki and Yokohama	TWO PLACES	
Sendai, Japan	ADDED	
M. M. steamer "Tamise,"	SHIP	
Seoul, Corea	ADDED	
Seoul, Korea	ADDED	
Russian gunboat "Gremiastchy"	SHIP	
Seremban, Negri Sembilan	ADDED	
Hai])hong and Hanoi	TWO PLACES	
Seremban, Sungei Ujong	ADDED	
Shagnhai	ADDED	
Shang’	ADDED	
Shanghai (absent):	PARSING ERROR	
steamer "Fausang,"	SHIP	
steamer "Choysang,"	SHIP	
U.S.A. refrigerating ship "Culgoa"	SHIP	
Shanghai & Hankow	TWO PLACES	
Shanghai,	ADDED	
steamer "Kungping,"	SHIP	
Hangchow and Shanghai	TWO PLACES	
Shangtung	ADDED	
Shansi	ADDED	
Shantung	ADDED	
Shaohing, Chekiang	ADDED	
Shaohing, Chekiang Province	ADDED	
Shaowu, Fokien Province	ADDED	
Shasì	ADDED	
Shek-hing, Kwangse	ADDED	
Shensi	ADDED	
U.S.A. Monitor “ Monadnock	SHIP	
Sheo-yang-hsien, Shansi	ADDED	
Sheoyanghsien, Shansi	ADDED	
Sheoyanghsien, Shensi	ADDED	
Shganhai	ADDED	Added to Shanghai
steamer “Changwo,”	SHIP	
U.S.A "Charleston"	SHIP	
Shidzuaka, Japan	ADDED	
H.B.M.S. “Narcissus”	SHIP	
Shidzuoka, Japan	ADDED	
Shsnghai	ADDED	Added to Shanghai
Si-gan, Shensi	ADDED	
Si-ngan district, Shensi	ADDED	
U.S.A. Flagship "Olympia"	SHIP	
H.B.M.S. “Barfleur”	SHIP	
Si-ngan-fu	ADDED	
Si-ngan-fu, Shensi	ADDED	
Si-ngan, Shensi	ADDED	
H.B.M. torpedo boat destroyer "Handy"	SHIP	
Siagon	ADDED	
Siam f	ADDED	
H.B.M.S., "Undaunted"	SHIP	
Siang-hsien, Honam	ADDED	
Siaomei, Chekiang	ADDED	
Russian gunboat "Sivoutch"	SHIP	
steamer "Peiyang"	SHIP	
Siberia	ADDED	
steamer "Hue,"	SHIP	
Signapore	ADDED	
Sihcheo, Shansi	ADDED	
Silay, Philippines	ADDED	
U.S.A. cruiser, "Boston"	SHIP	
Sin’pore	ADDED	
Sinagpore	ADDED	
gun-boat, "Koreyetz," Russian Pacific Squadron	SHIP	
steamer "Kongnam"	SHIP	
H.I.G.M.S. “Prinzess Welhelm	SHIP	
Singan district, Shensi	OCR SHORT?	
Singan, Shensi	ADDED	
Kobe and Y okohama (absent)	TWO PLACES	
Singapi	ADDED	
Singar	OCR ERROR	
Singau, Shensi	ADDED	
Sintientsi, Szechuen	ADDED	
Tamsui and Takow	TWO PLACES	
Soai-Rieng, Cambodge	ADDED	
Tientsin and Shanghai	TWO PLACES	
Soasia, Fokien	ADDED	
Societe Frangaise des Cnarbonnages	NO LOCATION	
Russian cruiser "Vladimir Monomakh"	SHIP	
Soctrang, Cochin China	ADDED	
Soctrang, Cochinchine	ADDED	
Russian battleship "Navarin"	SHIP	
Messageries Maritimes str. "Eridan,"	SHIP	
Songcau, Annam	ADDED	
Songkhone, Cochinchine	ADDED	
U.S.S. "Charleston"	SHIP	
Songp'an, Szech'uen	ADDED	
Songpan, Szechuen	ADDED	
Peiyang ” Ghina coast	SHIP	
Sontay, Tonkin	ADDED	
H.I.G.M.S. "Princess Wilhelm"	SHIP	
U. S. A. cruiser "Charleston"	SHIP	
U. S. S. "Charleston"	SHIP	
Sooehow	ADDED	
Soungarie, Manchuria	ADDED	
South Formosa	ADDED	
South Kiangse	ADDED	
H.I. German M.S. "Irene"	SHIP	
South Tokyo	ADDED	
Souvang, Tonkin	ADDED	
I. German M. S. “ Arcona”	SHIP	
St.	OCR SHORT?	
Stungtreng, Cochinchine	ADDED	
H.B.M.S. 'Centurion"	SHIP	
steamer "Kiang-teen,"	SHIP	
Sungci Ujong	ADDED	Added to Serambam
Sungei LTjong	ADDED	Added to Serambam
Sungei Ujong	ADDED	Added to Serambam
Sungkiang, Kiangsu	ADDED	
Swtaow	ADDED	
Szechuan	ADDED	
steamer "Lienshing"	SHIP	
Szecliuen	ADDED	
Szeehuen	ADDED	
British and Foreign Bible Society	NO LOCATION	
Szemao	ADDED	
H.B.M.S. "Immortalite"	SHIP	
Messageries Maritimes. steamer "Tamise,"	SHIP	
H.B.M. gunboat "Rattler"	SHIP	
H.B.M. gunboat "Plover"	SHIP	
Tai-ku, Shansi	ADDED	
Tai-nguyen, Tonkin	ADDED	
Taianfu, Chinkiang	TWO PLACES	
Taichow, Chekiang	TWO PLACES	
Taiku, Corea	ADDED	
Taiku, Shansi	ADDED	
Tainan-fu, Formosa	ADDED	
Tainanfoo	ADDED	
Tainanfu	ADDED	
H.B.M.’s torpedo boat destroyer "Handy"	SHIP	
Taipeng, Perak	ADDED	
Täiping, Kwangtung	ADDED	
Taiping, Perak	ADDED	
Taiyuenfu, Shansi	ADDED	
Takamatsu, Japan	ADDED	
Ichang and Shasi	TWO PLACES	
Yokohama and Tokyo	TWO PLACES	
Takow	ADDED	
Talienwan	ADDED	
H.B.M.S. “Rattler ”	SHIP	
Shanghai and Singapore	TWO PLACES	
Tamhoi, Saigon	ADDED	
H.B.M.S. torpedo boat destroyer "Hart"	SHIP	
Manila and Iloilo (absent)	TWO PLACES	
German str. "Hohenzollern,"	SHIP	
U.S.A. monitor “Monterey”	SHIP	
Tamsui	ADDED	
Tanan, Cochinchine	ADDED	
steamer "Loongsang,”	SHIP	
French cruiser "Jean Bart,"	SHIP	
Tang Un, West River	ADDED	
H.B.M.S. “Grafton”	SHIP	
Tang-Un, West River	ADDED	
Tang-un, West River	ADDED	
H.l.G.M.S. “ Kaiserin Augusta ”	SHIP	
Tanh-hoa, Annam	ADDED	
H.B.M.S. "Peacock"	SHIP	
Taning, Shansi	ADDED	
Tar	OCR SHORT?	
H.B.M.S. “ Undaunted ”	SHIP	
H.M.B.S. "Immortalité"	SHIP	
Tatongfu, Shansi	ADDED	
Tayninh, Cochin China	ADDED	
Tayninh, Cochinchine	ADDED	
steamer "Fungshun,"	SHIP	
Tebrau, Johore	ADDED	
Tehngan, Hupeh	ADDED	
Teng-yueh, Yunnan	ADDED	
steamer "Taisang,"	SHIP	
H.B.M.S. "Immortalié,"	SHIP	
Thai-binh, Tonkin	ADDED	
Thaibinh, Tonkin	ADDED	
Thaibinh, Tonkin Central	ADDED	
Thainguyen, Tonkin	ADDED	
Foochow and Shanghai	TWO PLACES	
Hanoi and Haiphong	TWO PLACES	
Thaiping, Perak	ADDED	
Thanh hoa, Annam	ADDED	
Thanh-hoa Annam	ADDED	
H.I.G.M.S. "Geifon"	SHIP	
H.I.G.M.S. “ Kaiser”	SHIP	
French gunboat, "Caravane"	SHIP	
Thanh-hoa, Annam	ADDED	
steamer "Powan,"	SHIP	
Thanhhoa, Annam	ADDED	
Thanhson, Annam	ADDED	
Thibet	ADDED	New Place
Thietnham, Tonkin	ADDED	
Russian gunboat, "Koreyetz"	SHIP	
third magistrate	NO LOCATION	
Thongthauha, Kwangtung	ADDED	
Russian cruiser "Dmitry-Donskoy"	SHIP	
Thuan-an, Annam	ADDED	
Thuanan, Annam	ADDED	
steamer "Taichiow"	SHIP	
Thudamont, Cochinchine	ADDED	
Russian gunboat, "Zabiaka"	SHIP	
H.B.M.S. “Centurion”	SHIP	
Russian torpedo cruiser, "Gaidamak"	SHIP	
Thuongxa, Annam	ADDED	
U.S.A. gunboat, "Manila"	SHIP	
Tienstin	ADDED	
Tienyen, Tonkin	ADDED	
Timor	ADDED	
Tokyo, Japan	ADDED	
Tong-ch'uan, Yunan	ADDED	
Tongcheo, Shansi	ADDED	
Tongcheo, Shensi	ADDED	
Tongchuan, Yunnan	ADDED	
Tourane, Annam	ADDED	
Russian gunboat, "Otvajny"	SHIP	
Toyama, Japan	ADDED	
Trakieu, Annam	ADDED	
Travinh, Cochin-China	ADDED	
Travinh, Cochinchine	ADDED	
Ts'in-cheo, Kansuh	ADDED	
H.B.M.S., "Victorious."	SHIP	
steamer "Hoihow"	SHIP	
H.B.M.S. “	SHIP	
Tschihin, Kwangtung	ADDED	
H.B.M.S. “ Bonaventure	SHIP	
H. B. M.'s torpedo boat destroyer "Hart"	SHIP	
Tsincheo, Kansuh	ADDED	
Tsincheo, Ksuhan Province	ADDED	
Tsining-chow, Shantung	ADDED	
Tsiningchow, Shantung	ADDED	
Tsintau, Kiaochao Bay	ADDED	
steamer "Esang,"	SHIP	
Tsintau, Kiaochau	ADDED	
Tso-uin, Shanshi	ADDED	New Place
Tso-uin, Shansi	ADDED	New Place
steamer “El Dorado,”	SHIP	
U.S.A. gunboat "Callao"	SHIP	
Tsouin, Shansi	ADDED	
H.B.M.S. “Bonaventure ”	SHIP	
Tsu, Ise Province, Japan	ADDED	
Russian cruiser "Admiral Korniloff"	SHIP	
Tsukiji, Tokyo	ADDED	
Tsuyama, Japan	ADDED	
French cruiser "Duguay Trouin"	SHIP	
Tuh-shan, Kueichow	ADDED	
Shanghai and Hankow (absent)	TWO PLACES	
Tukoshima, Japan	ADDED	
Tungkun, Kwangtung	ADDED	
steamer “Lungshan,”	SHIP	
Tuyenquang, Tonkin	ADDED	
Shasi and Ichang	TWO PLACES	
U. S. A. Naval Squadron	NO ABODE	
U. S. A. Squadron	NO ABODE	
Uladivostock	ADDED	
Ulu Langat, Selangor	ADDED	
H.B.M. torpedo boat destroyer, "Hart"	SHIP	
Ulu Pahang	ADDED	
Umcheng, Shansi	ADDED	
Upper Perak	ADDED	
Van Yen, Annam	ADDED	
Van-dao, Annam	ADDED	
Vinh, Annam	ADDED	
Vinhlong, Cochin-China	ADDED	
H. B. M.'s cruiser "Iphigenia"	SHIP	
Vinhlong, Cochinchine	ADDED	
Hankow and Kewkiang	TWO PLACES	
Vladivostack	ADDED	
Vladivostok	ADDED	
w	OCR SHORT?	
Waglan lighthouse	PARSING ERROR	
Waichau, Kwangse	ADDED	
Messageries Maritimes steamer "Tibre,"	SHIP	
Wei Hien, Shantung	ADDED	
Wei-hai-wei	ADDED	
Weihaiwei, Shantung	ADDED	
Wênchow	ADDED	
Hongkong and South China	TWO PLACES	
West River	NO LOCATION	
Whampoa	ADDED	
Wladivostock	ADDED	
Wnchow-fu	ADDED	
steamer "Haean,"	SHIP	
Woosung	ADDED	
H.B.M.S. “Archer”	SHIP	
steamer "Chw'n-shan,"	SHIP	
Wuchang	ADDED	
steamer "Fatshan,"	SHIP	
Wuchow-fu	ADDED	
Wuchowfu	ADDED	
Wuliu	ADDED	Added to WUHU
U.S.A. monitor, "Monadnock"	SHIP	
Wusueh	ADDED	
landing and shipping agent	TWO PLACES	
Xuanday, Annam	ADDED	
Yachou, Szechuen	ADDED	
Yachou, Szeehuen	ADDED	
H.B..M. gunboat "Redpole"	SHIP	
Kewkiang and Shanghai	TWO PLACES	
Yamaguchi, Japan	ADDED	
Yangchow	ADDED	
Yangtsze river	NO LOCATION	
Yangtsze River	NO LOCATION	
U. S. A. cruiser “Boston”	SHIP	
Tamsui and Kelung	TWO PLACES	
Yenbai, Tonkin	ADDED	New Place
H.B.M. gunvessel "Linnet"	SHIP	
Yenbay, Tonkin	ADDED	New Place
steamer "Chowfa"	SHIP	
Yensan, Chihli	ADDED	
H.B.M.S. “ Barfleur ”	SHIP	
Yeungkong Kwangtung	ADDED	
Yladivostock	ADDED	
Kobe and Yokohama (absent)	TWO PLACES	
Ylagan, Philippines	ADDED	
Yohohama	ADDED	
H.B.M’s cruiser "Narcissus"	SHIP	
Yok	OCR SHORT?	Probably OCR stub, added to Yokohama, anyway
Yokoh:	ADDED	Added to Yokohama
Yokohama.	ADDED	
Yuensan, Corea	ADDED	New Place
steamer “ Hensang,”	SHIP	
E. E., A. & C. Tel. Co.'s Steamer "Sherard Osborne"	SHIP	
Yun-nan-fu	ADDED	
French cruiser " Duguay-Trouin ”	SHIP	
Yunnan	ADDED	New Place
Yunnan-fu	ADDED	
Occurence	Status	
1 okohama	OCR ERROR	
Anglo-Siam	NO LOCATION	
Asiatic Petroleum Co. (North China). Dairen	PARSING ERROR	
B. N. Borneo-	OCR ERROR	
B. S.	OCR ERROR	
Baugkok	ADDED	
Bill & Bullion Broker. Hongkong	PARSING ERROR	
British Cigarette Co. Shanghai	PARSING ERROR	
Butler it Co.. Selangor	PARSING ERROR	
C'sen		unknown, although used in combination with Chinnampo, C’sen
Chefop	ADDED	
Chinese Maritime Customs Tientsin	PARSING ERROR	
Church Missionary Society. Hangchow	PARSING ERROR	
colonial veterinary surgeon. Hongkong	PARSING ERROR	
F. M. S. & S. S.	TWO PLACES	
F..M.S.	OCR ERROR	
F.M.S and S.S.	TWO PLACES	
F.M.S. & S. S.	TWO PLACES	
F.M.S. & S.S.	TWO PLACES	
F.M.S. and S. S.	TWO PLACES	
F.M.S. and S.S.	TWO PLACES	
F.M.S. it S. S.	TWO PLACES	
F.M.S., & S.S.	TWO PLACES	
Federated Malay States and Straits Settlements	TWO PLACES	
Fsingtao	OCR ERROR	
Gilman it Co.. Ld.. Hongkong	PARSING ERROR	
H. R. L.	NO LOCATION	
H’kong-	ADDED	
H’kow	ADDED	
Hanko	OCR SHORT?	
Hcngkong	ADDED	
Helvetia	NO LOCATION	
HongkoDg	OCR ERROR	
Hongkong and Shanghai Banking Corpn.	PARSING ERROR	
Hongkong and Shanghai Banking Corporation. Shanghai	PARSING ERROR	
Hongkong:	ADDED	
Hongkorg	ADDED	
Honjikotig	OCR ERROR	
Hontrkong	OCR ERROR	
HTcong. it S’hai	TWO PLACES	
I'eping	OCR ERROR	
International Marine Union of Philippines	NO LOCATION	
International Service Co.. Inc. Manila	PARSING ERROR	
Ivedah	OCR ERROR	
J. T. W.	OCR ERROR	
J. V. S.	OCR ERROR	
Japan and China	TWO PLACES	
Jol	OCR SHORT?	
Kelantan and Trengganu	TWO PLACES	
Kerr ifc Co.. Penang	PARSING ERROR	
Kiukiang	ADDED	
Kobe and Osaka	TWO PLACES	
Kobe and Tokyo	TWO PLACES	
Kobe and Yokohama	TWO PLACES	
Kongmbon	OCR ERROR	
Kongraoon	OCR ERROR	should most likely be Kongmoon
L. van den	PARSING ERROR	
Ld Hongkong	PARSING ERROR	
Ld.	PARSING ERROR	
Ld. Hongkong	PARSING ERROR	
Ld.. Shanghai	PARSING ERROR	
Ld.^'Shanghai	PARSING ERROR	
Ld„ Sarawak	PARSING ERROR	
Ld„ Shanghai	PARSING ERROR	
Lhanghai	OCR ERROR	
Lopes & Alves. Hongkong	PARSING ERROR	
Lower Perak, Perak	ADDED	
Manila-	OCR ERROR	
medical Practitioner. Yokohama	PARSING ERROR	
Mukden and Newchwang	TWO PLACES	
Mukden and Tientsin	TWO PLACES	
N. S.	OCR ERROR	
National Commercial Co.. Shanghai	PARSING ERROR	
Ned. Handel Mij Factorij te Batavia	PARSING ERROR	
Negri Semhilan	ADDED	
New York U.S.A.) Manila	PARSING ERROR	
Newell wang	OCR ERROR	
Newellwang	OCR ERROR	
O.	OCR ERROR	
Peiping and Tientsin	PARSING ERROR	
Penatig	OCR ERROR	
Public Works dept.. Municipality j Shanghai	PARSING ERROR	
Pugh & Co. Shanghai	PARSING ERROR	
R.	OCR ERROR	
R. E. L.	OCR ERROR	
R. J.	OCR ERROR	
R. N.	OCR ERROR	
Robe	ADDED	
S. S. & F.M.S.	TWO PLACES	
S.arawak	OCR ERROR	
S.S & F.M.S	TWO PLACES	
S.S. & F.M.S.	TWO PLACES	
S.S. and F.M.S.	TWO PLACES	
Saigon and Hanoi	TWO PLACES	
Saigon j^i	OCR ERROR	
Samdakan	ADDED	
Se;angor	OCR ERROR	
Selangor, F. M. S.	ADDED	
Selangr	ADDED	
Sh anghai	OCR ERROR	
Shanghai Power Co„ Shanghai	PARSING ERROR	
Shanghai Power CoShanghai	PARSING ERROR	
Shanghni	ADDED	
Sin nghai	OCR ERROR	
Singapoie	ADDED	
Singapor	ADDED	
Singapore ..A - •	OCR ERROR	
Singapore *	OCR ERROR	
Singapore-	OCR ERROR	
Singapore1	OCR ERROR	
Socony Vacuum Corp.. Singapore	PARSING ERROR	
Socony-Vacuum Corpn.. Hongkong	PARSING ERROR	
Socony-Vacuum Corporation	PARSING ERROR	
South British Insurance Co.. Ld.. Singapore	PARSING ERROR	
Surgeon Dentist. Singapore	PARSING ERROR	
T’sin'	OCR ERROR	
T’sinv	OCR ERROR	
Tenant;	OCR ERROR	
Thomson it Co.. Hongkong	PARSING ERROR	
Tohote	OCR ERROR	
Tokyo & Bangkok	TWO PLACES	
Tokyo-	OCR ERROR	
Tregganu	ADDED	
V. H.	OCR ERROR	
Viloudaki ik Co Shanghai	PARSING ERROR	
Weihaivvei	OCR ERROR	
Wucliow	OCR ERROR	
Yannanfu	OCR ERROR	
Yunnanfu and Mengtsz	TWO PLACES	
Occurence	Status	
1. M. S.	OCR ERROR	
Aust. <t China and actg.	PARSING ERROR	
Bandoeng	ADDED	
Batu Pahat, Johore	ADDED	
Bengkalis, Sumatra	ADDED	
Bentong, Pahang	ADDED	
Chung	DECISION IMPOSSIBLE	2223 Getty results
Consolidated Tin Smelters Ltd./Singapore	PARSING ERROR	
Daitotei, Formosa	ADDED	
F. M. S. & S. S.	TWO PLACES	
F. M.S. & S.S.	TWO PLACES	
F.M.S. & S.S.	TWO PLACES	
F.M.S. and S. S.	TWO PLACES	
F.M.S. it S. S	TWO PLACES	
F.M'.S.	ADDED	
Falcon Electrical Manila	PARSING ERROR	
General Officer Commanding The British Troops in	PARSING ERROR	
Gensau		Probably Gensan?
German Embassy. China	PARSING ERROR	
Gibb L.vingston &? Co { Ltd. .Shanghai	PARSING ERROR	
Governor of Hongkong	NO LOCATION	
Governor of Macao	NO LOCATION	
Governor of the East Coast of Sumatra	NO LOCATION	
Gulf & Pacific Co. of Manila	PARSING ERROR	
H kong. & b hai	TWO PLACES	
H'chow	ADDED	
Hankok	ADDED	Not found: No Getty, no wikipedia
I okyo Kinkiamr	OCR ERROR	probably Tokyo?
International Marine Union of Philippines	PARSING ERROR	
Japan and China	TWO PLACES	
Jebsen & Co. (Aabenraa)	PARSING ERROR	
Johore Bahru, Johore	ADDED	
Kelantan and Trengganu	TWO PLACES	
Kiukiang	ADDED	
Kobe ’ ’’ H gkong	TWO PLACES	
Kobe and consul for Haiti	PARSING ERROR	
Kobe and Tokyo	TWO PLACES	
Kobe and Yokohama	TWO PLACES	
Kuala Tinggi, Johore	ADDED	
Legaspi, P.I.	ADDED	
location unknown	NO LOCATION	
Man.	DECISION IMPOSSIBLE	
Messageries Maritime ?	PARSING ERROR	
Muar, Johore	ADDED	
N.V. Handel & Cultnur .Mij	PARSING ERROR	
Negri S'lan	ADDED	
Netherlands India		Dutch India is in India, the Dutch East Indies are in Indonesia.. i assume this means the latter? If so: 2.0 / 118.0
Pen.	DECISION IMPOSSIBLE	
Peralo		Not found: No Getty, no wikipedia
Raub, Pahan	ADDED	
S. S. & F. M. S.	TWO PLACES	
S.S. & F.M.S.. Singapore	TWO PLACES	
S.S. and F.M.S.	TWO PLACES	
S.S. it F.M.S.	TWO PLACES	
S.S. it F.M.S.y Singapore	TWO PLACES	
Sai.	DECISION IMPOSSIBLE	
Sandakan, British North B'neo	ADDED	
Shanghai '	ADDED	
Shantung Christian University		Should this be added to Shantung?
Singaj		Not found. With google maps, a place in west india is found...
Standard-Vacuum Od Co Hongkong	PARSING ERROR	
State Headquarte vjontrk	NO LOCATION	
Sun Insurance Office Tokyo	PARSING ERROR	
Survey dept.. F. M. S. it S. S.		Is this TWO PLACES or PARSING ERROR?
T'sm	DECISION IMPOSSIBLE	
T'tsin	ADDED	
Tamshui	ADDED	3 TGNs found, could be each of them. Could be "Tamsui" (which is already in the place list). http://www.getty.edu/vow/TGNServlet?english=Y&find=Tamshui&place=&page=1&nation=
The Sportsman.	NO LOCATION	
Tjilatjap	ADDED	
Tokyo & Bangkok	TWO PLACES	
Tongku		Not found: No Getty, no wikipedia (Tongku apparentely means "Shitake mushroom")
x^iB	OCR ERROR	
Yunnanfu and Mengtsz	TWO PLACES	
Zam.	DECISION IMPOSSIBLE	
